Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Integration-IA-Contact,Chrome 81.0.4044.138,,,2020-05-21 11:42:07,2020-05-21 11:47:30,"5m - 23,331s",FAILED
,,,,,,,
Test Cases/Contact,Chrome 81.0.4044.138,,,2020-05-21 11:42:07,2020-05-21 11:45:31,"3m - 23,398s",PASSED
"openBrowser("""")",Chrome 81.0.4044.138,,,2020-05-21 11:42:08,2020-05-21 11:42:15,"6,427s",PASSED
navigateToUrl(URL),Chrome 81.0.4044.138,,,2020-05-21 11:42:15,2020-05-21 11:42:19,"4,767s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_Welcome page/button_Accder""))",Chrome 81.0.4044.138,,,2020-05-21 11:42:19,2020-05-21 11:42:23,"4,034s",PASSED
"setText(findTestObject(""Object Repository/CreationContact/Page_IAD/input_Identifiant_username""), usernameConseiller)",Chrome 81.0.4044.138,,,2020-05-21 11:42:23,2020-05-21 11:42:28,"5,007s",PASSED
"setEncryptedText(findTestObject(""Object Repository/CreationContact/Page_IAD/input_Mot de passe_password""), mp)",Chrome 81.0.4044.138,,,2020-05-21 11:42:28,2020-05-21 11:42:33,"4,771s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_IAD/input_Mot de passe_submit""))",Chrome 81.0.4044.138,,,2020-05-21 11:42:33,2020-05-21 11:42:40,"6,987s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_IAD/button_Dmarrer""))",Chrome 81.0.4044.138,,,2020-05-21 11:42:40,2020-05-21 11:42:43,"3,173s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_IAD/div_Quitter""))",Chrome 81.0.4044.138,,,2020-05-21 11:42:43,2020-05-21 11:42:47,"3,392s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_IAD/a_Production""))",Chrome 81.0.4044.138,,,2020-05-21 11:42:47,2020-05-21 11:42:49,"2,582s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_IAD/a_Myiad contacts""))",Chrome 81.0.4044.138,,,2020-05-21 11:42:49,2020-05-21 11:42:54,"4,822s",PASSED
