Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Integration-IA-Contact,Chrome 81.0.4044.138,,,2020-05-21 10:41:19,2020-05-21 10:47:42,"6m - 23,114s",FAILED
,,,,,,,
Test Cases/Contact,Chrome 81.0.4044.138,,,2020-05-21 10:41:19,2020-05-21 10:44:16,"2m - 56,768s",PASSED
"openBrowser("""")",Chrome 81.0.4044.138,,,2020-05-21 10:41:20,2020-05-21 10:41:24,"4,378s",PASSED
navigateToUrl(URL),Chrome 81.0.4044.138,,,2020-05-21 10:41:24,2020-05-21 10:41:27,"3,425s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_Welcome page/button_Accder""))",Chrome 81.0.4044.138,,,2020-05-21 10:41:27,2020-05-21 10:41:31,"3,519s",PASSED
"setText(findTestObject(""Object Repository/CreationContact/Page_IAD/input_Identifiant_username""), usernameConseiller)",Chrome 81.0.4044.138,,,2020-05-21 10:41:31,2020-05-21 10:41:36,"4,731s",PASSED
"setEncryptedText(findTestObject(""Object Repository/CreationContact/Page_IAD/input_Mot de passe_password""), mp)",Chrome 81.0.4044.138,,,2020-05-21 10:41:36,2020-05-21 10:41:40,"4,402s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_IAD/input_Mot de passe_submit""))",Chrome 81.0.4044.138,,,2020-05-21 10:41:40,2020-05-21 10:41:46,"5,959s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_IAD/button_Dmarrer""))",Chrome 81.0.4044.138,,,2020-05-21 10:41:46,2020-05-21 10:41:49,"3,264s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_IAD/div_Quitter""))",Chrome 81.0.4044.138,,,2020-05-21 10:41:49,2020-05-21 10:41:53,"3,270s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_IAD/a_Production""))",Chrome 81.0.4044.138,,,2020-05-21 10:41:53,2020-05-21 10:41:55,"2,524s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_IAD/a_Myiad contacts""))",Chrome 81.0.4044.138,,,2020-05-21 10:41:55,2020-05-21 10:41:59,"3,412s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_IAD/button_Crer""))",Chrome 81.0.4044.138,,,2020-05-21 10:41:59,2020-05-21 10:42:07,"8,888s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_IAD/div_Nouveau contact_myiad-avatar""))",Chrome 81.0.4044.138,,,2020-05-21 10:42:07,2020-05-21 10:42:10,"2,586s",PASSED
Seq5 = Math.random() * 9 - 6,Chrome 81.0.4044.138,,,2020-05-21 10:42:10,2020-05-21 10:42:10,"0,011s",PASSED
seq55 = Seq5 * 100,Chrome 81.0.4044.138,,,2020-05-21 10:42:10,2020-05-21 10:42:10,"0,002s",PASSED
jdcontact = seq55,Chrome 81.0.4044.138,,,2020-05-21 10:42:10,2020-05-21 10:42:10,"0,003s",PASSED
jdcont = $jdcontact,Chrome 81.0.4044.138,,,2020-05-21 10:42:10,2020-05-21 10:42:10,"0,011s",PASSED
"firstname = ""test"" + jdcont",Chrome 81.0.4044.138,,,2020-05-21 10:42:10,2020-05-21 10:42:10,"0,001s",PASSED
println(firstname),Chrome 81.0.4044.138,,,2020-05-21 10:42:10,2020-05-21 10:42:10,"0,005s",PASSED
"setText(findTestObject(""Object Repository/CreationContact/Page_IAD/input_Prnom_firstName""), firstname)",Chrome 81.0.4044.138,,,2020-05-21 10:42:10,2020-05-21 10:42:15,"4,789s",PASSED
