Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Integration-IA-Contact,Chrome 81.0.4044.138,,,2020-05-20 10:45:44,2020-05-20 10:49:27,"3m - 43,604s",FAILED
,,,,,,,
Test Cases/Contact,Chrome 81.0.4044.138,,,2020-05-20 10:45:44,2020-05-20 10:48:43,"2m - 58,629s",PASSED
"openBrowser("""")",Chrome 81.0.4044.138,,,2020-05-20 10:45:45,2020-05-20 10:45:49,"4,686s",PASSED
navigateToUrl(URL),Chrome 81.0.4044.138,,,2020-05-20 10:45:49,2020-05-20 10:45:53,"3,852s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_Welcome page/button_Accder""))",Chrome 81.0.4044.138,,,2020-05-20 10:45:53,2020-05-20 10:45:59,"5,330s",PASSED
"setText(findTestObject(""Object Repository/CreationContact/Page_IAD/input_Identifiant_username""), usernameConseiller)",Chrome 81.0.4044.138,,,2020-05-20 10:45:59,2020-05-20 10:46:03,"4,827s",PASSED
"setEncryptedText(findTestObject(""Object Repository/CreationContact/Page_IAD/input_Mot de passe_password""), mp)",Chrome 81.0.4044.138,,,2020-05-20 10:46:03,2020-05-20 10:46:08,"4,418s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_IAD/input_Mot de passe_submit""))",Chrome 81.0.4044.138,,,2020-05-20 10:46:08,2020-05-20 10:46:13,"5,390s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_IAD/button_Dmarrer""))",Chrome 81.0.4044.138,,,2020-05-20 10:46:13,2020-05-20 10:46:16,"3,066s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_IAD/div_Quitter""))",Chrome 81.0.4044.138,,,2020-05-20 10:46:16,2020-05-20 10:46:19,"3,263s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_IAD/a_Production""))",Chrome 81.0.4044.138,,,2020-05-20 10:46:19,2020-05-20 10:46:22,"2,535s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_IAD/a_Myiad contacts""))",Chrome 81.0.4044.138,,,2020-05-20 10:46:22,2020-05-20 10:46:26,"3,494s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_IAD/button_Crer""))",Chrome 81.0.4044.138,,,2020-05-20 10:46:26,2020-05-20 10:46:33,"7,620s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_IAD/div_Nouveau contact_myiad-avatar""))",Chrome 81.0.4044.138,,,2020-05-20 10:46:33,2020-05-20 10:46:36,"2,578s",PASSED
Seq5 = Math.random() * 9 - 6,Chrome 81.0.4044.138,,,2020-05-20 10:46:36,2020-05-20 10:46:36,"0,009s",PASSED
