Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Integration-IA-Contact,Chrome 81.0.4044.138,,,2020-05-20 14:27:08,2020-05-20 14:35:16,"8m - 7,830s",FAILED
,,,,,,,
Test Cases/Projet,Chrome 81.0.4044.138,,,2020-05-20 14:27:08,2020-05-20 14:27:09,"0,636s",FAILED
"click(findTestObject(""CreationContact/Page_IAD/a_Myiad acqureurs""))",Chrome 81.0.4044.138,,,2020-05-20 14:27:09,2020-05-20 14:27:09,"0,379s",FAILED
,,,,,,,
Test Cases/Contact,Chrome 81.0.4044.138,,,2020-05-20 14:27:09,2020-05-20 14:34:33,"7m - 24,126s",PASSED
"openBrowser("""")",Chrome 81.0.4044.138,,,2020-05-20 14:27:09,2020-05-20 14:27:13,"4,196s",PASSED
navigateToUrl(URL),Chrome 81.0.4044.138,,,2020-05-20 14:27:13,2020-05-20 14:27:17,"3,529s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_Welcome page/button_Accder""))",Chrome 81.0.4044.138,,,2020-05-20 14:27:17,2020-05-20 14:27:59,"41,707s",PASSED
"setText(findTestObject(""Object Repository/CreationContact/Page_IAD/input_Identifiant_username""), usernameConseiller)",Chrome 81.0.4044.138,,,2020-05-20 14:27:59,2020-05-20 14:28:03,"4,651s",PASSED
"setEncryptedText(findTestObject(""Object Repository/CreationContact/Page_IAD/input_Mot de passe_password""), mp)",Chrome 81.0.4044.138,,,2020-05-20 14:28:03,2020-05-20 14:28:08,"4,423s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_IAD/input_Mot de passe_submit""))",Chrome 81.0.4044.138,,,2020-05-20 14:28:08,2020-05-20 14:28:43,"35,115s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_IAD/button_Dmarrer""))",Chrome 81.0.4044.138,,,2020-05-20 14:28:43,2020-05-20 14:28:47,"3,886s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_IAD/div_Quitter""))",Chrome 81.0.4044.138,,,2020-05-20 14:28:47,2020-05-20 14:28:50,"3,162s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_IAD/a_Production""))",Chrome 81.0.4044.138,,,2020-05-20 14:28:50,2020-05-20 14:28:52,"2,529s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_IAD/a_Myiad contacts""))",Chrome 81.0.4044.138,,,2020-05-20 14:28:52,2020-05-20 14:32:15,"3m - 23,059s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_IAD/button_Crer""))",Chrome 81.0.4044.138,,,2020-05-20 14:32:15,2020-05-20 14:32:25,"9,421s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_IAD/div_Nouveau contact_myiad-avatar""))",Chrome 81.0.4044.138,,,2020-05-20 14:32:25,2020-05-20 14:32:27,"2,589s",PASSED
Seq5 = Math.random() * 9 - 6,Chrome 81.0.4044.138,,,2020-05-20 14:32:27,2020-05-20 14:32:27,"0,009s",PASSED
seq55 = Seq5 * 100,Chrome 81.0.4044.138,,,2020-05-20 14:32:27,2020-05-20 14:32:27,"0,003s",PASSED
jdcontact = seq55,Chrome 81.0.4044.138,,,2020-05-20 14:32:27,2020-05-20 14:32:28,"0,002s",PASSED
jdcont = $jdcontact,Chrome 81.0.4044.138,,,2020-05-20 14:32:28,2020-05-20 14:32:28,"0,012s",PASSED
"firstname = ""test"" + jdcont",Chrome 81.0.4044.138,,,2020-05-20 14:32:28,2020-05-20 14:32:28,"0,001s",PASSED
println(firstname),Chrome 81.0.4044.138,,,2020-05-20 14:32:28,2020-05-20 14:32:28,"0,004s",PASSED
"setText(findTestObject(""Object Repository/CreationContact/Page_IAD/input_Prnom_firstName""), firstname)",Chrome 81.0.4044.138,,,2020-05-20 14:32:28,2020-05-20 14:32:32,"4,785s",PASSED
"lastname = ""test1"" + jdcont",Chrome 81.0.4044.138,,,2020-05-20 14:32:32,2020-05-20 14:32:32,"0,001s",PASSED
println(lastname),Chrome 81.0.4044.138,,,2020-05-20 14:32:32,2020-05-20 14:32:32,"0,000s",PASSED
"setText(findTestObject(""Object Repository/CreationContact/Page_IAD/input_Nom_lastName""), lastname)",Chrome 81.0.4044.138,,,2020-05-20 14:32:32,2020-05-20 14:32:37,"4,775s",PASSED
"usedname = ""test3"" + jdcont",Chrome 81.0.4044.138,,,2020-05-20 14:32:37,2020-05-20 14:32:37,"0,000s",PASSED
println(usedname),Chrome 81.0.4044.138,,,2020-05-20 14:32:37,2020-05-20 14:32:37,"0,001s",PASSED
"setText(findTestObject(""Object Repository/CreationContact/Page_IAD/input_concat(Nom d  usage)_usageName""), usedname)",Chrome 81.0.4044.138,,,2020-05-20 14:32:37,2020-05-20 14:32:42,"4,985s",PASSED
"jeunefille = ""test4"" + jdcont",Chrome 81.0.4044.138,,,2020-05-20 14:32:42,2020-05-20 14:32:42,"0,001s",PASSED
println(jeunefille),Chrome 81.0.4044.138,,,2020-05-20 14:32:42,2020-05-20 14:32:42,"0,000s",PASSED
"setText(findTestObject(""Object Repository/CreationContact/Page_IAD/input_Nom de jeune fille_birthName""), jeunefille)",Chrome 81.0.4044.138,,,2020-05-20 14:32:42,2020-05-20 14:32:47,"4,976s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_IAD/input_Date de naissance_birthDate""))",Chrome 81.0.4044.138,,,2020-05-20 14:32:47,2020-05-20 14:32:50,"2,750s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_IAD/span_13""))",Chrome 81.0.4044.138,,,2020-05-20 14:32:50,2020-05-20 14:32:52,"2,704s",PASSED
"datebirth = getAttribute(findTestObject(""CreationContact/Page_IAD/input_Date de naissance_birthDate""), ""value"")",Chrome 81.0.4044.138,,,2020-05-20 14:32:52,2020-05-20 14:32:53,"0,597s",PASSED
