Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Integration-IA-Contact,Chrome 81.0.4044.138,,,2020-05-21 11:01:57,2020-05-21 11:07:45,"5m - 48,781s",FAILED
,,,,,,,
Test Cases/Contact,Chrome 81.0.4044.138,,,2020-05-21 11:01:57,2020-05-21 11:04:54,"2m - 57,417s",PASSED
"openBrowser("""")",Chrome 81.0.4044.138,,,2020-05-21 11:01:57,2020-05-21 11:02:02,"4,403s",PASSED
navigateToUrl(URL),Chrome 81.0.4044.138,,,2020-05-21 11:02:02,2020-05-21 11:02:05,"3,383s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_Welcome page/button_Accder""))",Chrome 81.0.4044.138,,,2020-05-21 11:02:05,2020-05-21 11:02:09,"3,391s",PASSED
"setText(findTestObject(""Object Repository/CreationContact/Page_IAD/input_Identifiant_username""), usernameConseiller)",Chrome 81.0.4044.138,,,2020-05-21 11:02:09,2020-05-21 11:02:13,"4,826s",PASSED
"setEncryptedText(findTestObject(""Object Repository/CreationContact/Page_IAD/input_Mot de passe_password""), mp)",Chrome 81.0.4044.138,,,2020-05-21 11:02:13,2020-05-21 11:02:18,"4,408s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_IAD/input_Mot de passe_submit""))",Chrome 81.0.4044.138,,,2020-05-21 11:02:18,2020-05-21 11:02:24,"6,035s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_IAD/button_Dmarrer""))",Chrome 81.0.4044.138,,,2020-05-21 11:02:24,2020-05-21 11:02:27,"3,066s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_IAD/div_Quitter""))",Chrome 81.0.4044.138,,,2020-05-21 11:02:27,2020-05-21 11:02:30,"3,248s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_IAD/a_Production""))",Chrome 81.0.4044.138,,,2020-05-21 11:02:30,2020-05-21 11:02:33,"2,540s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_IAD/a_Myiad contacts""))",Chrome 81.0.4044.138,,,2020-05-21 11:02:33,2020-05-21 11:02:37,"4,131s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_IAD/button_Crer""))",Chrome 81.0.4044.138,,,2020-05-21 11:02:37,2020-05-21 11:02:46,"8,904s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_IAD/div_Nouveau contact_myiad-avatar""))",Chrome 81.0.4044.138,,,2020-05-21 11:02:46,2020-05-21 11:02:48,"2,569s",PASSED
Seq5 = Math.random() * 9 - 6,Chrome 81.0.4044.138,,,2020-05-21 11:02:48,2020-05-21 11:02:48,"0,011s",PASSED
seq55 = Seq5 * 100,Chrome 81.0.4044.138,,,2020-05-21 11:02:48,2020-05-21 11:02:48,"0,001s",PASSED
jdcontact = seq55,Chrome 81.0.4044.138,,,2020-05-21 11:02:48,2020-05-21 11:02:48,"0,002s",PASSED
jdcont = $jdcontact,Chrome 81.0.4044.138,,,2020-05-21 11:02:48,2020-05-21 11:02:48,"0,014s",PASSED
"firstname = ""test"" + jdcont",Chrome 81.0.4044.138,,,2020-05-21 11:02:48,2020-05-21 11:02:48,"0,000s",PASSED
println(firstname),Chrome 81.0.4044.138,,,2020-05-21 11:02:48,2020-05-21 11:02:48,"0,003s",PASSED
"setText(findTestObject(""Object Repository/CreationContact/Page_IAD/input_Prnom_firstName""), firstname)",Chrome 81.0.4044.138,,,2020-05-21 11:02:48,2020-05-21 11:02:53,"4,797s",PASSED
"lastname = ""test1"" + jdcont",Chrome 81.0.4044.138,,,2020-05-21 11:02:53,2020-05-21 11:02:53,"0,001s",PASSED
println(lastname),Chrome 81.0.4044.138,,,2020-05-21 11:02:53,2020-05-21 11:02:53,"0,001s",PASSED
"setText(findTestObject(""Object Repository/CreationContact/Page_IAD/input_Nom_lastName""), lastname)",Chrome 81.0.4044.138,,,2020-05-21 11:02:53,2020-05-21 11:02:58,"4,778s",PASSED
"usedname = ""test3"" + jdcont",Chrome 81.0.4044.138,,,2020-05-21 11:02:58,2020-05-21 11:02:58,"0,000s",PASSED
println(usedname),Chrome 81.0.4044.138,,,2020-05-21 11:02:58,2020-05-21 11:02:58,"0,001s",PASSED
"setText(findTestObject(""Object Repository/CreationContact/Page_IAD/input_concat(Nom d  usage)_usageName""), usedname)",Chrome 81.0.4044.138,,,2020-05-21 11:02:58,2020-05-21 11:03:03,"4,967s",PASSED
"jeunefille = ""test4"" + jdcont",Chrome 81.0.4044.138,,,2020-05-21 11:03:03,2020-05-21 11:03:03,"0,001s",PASSED
