Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Integration-IA-Contact,Chrome 81.0.4044.138,,,2020-05-21 14:46:15,2020-05-21 14:53:45,"7m - 29,330s",FAILED
,,,,,,,
Test Cases/Contact,Chrome 81.0.4044.138,,,2020-05-21 14:46:16,2020-05-21 14:50:09,"3m - 53,140s",PASSED
"openBrowser("""")",Chrome 81.0.4044.138,,,2020-05-21 14:46:16,2020-05-21 14:46:21,"4,661s",PASSED
navigateToUrl(URL),Chrome 81.0.4044.138,,,2020-05-21 14:46:21,2020-05-21 14:46:27,"6,022s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_Welcome page/button_Accder""))",Chrome 81.0.4044.138,,,2020-05-21 14:46:27,2020-05-21 14:46:36,"9,626s",PASSED
"setText(findTestObject(""Object Repository/CreationContact/Page_IAD/input_Identifiant_username""), usernameConseiller)",Chrome 81.0.4044.138,,,2020-05-21 14:46:36,2020-05-21 14:46:41,"4,831s",PASSED
"setEncryptedText(findTestObject(""Object Repository/CreationContact/Page_IAD/input_Mot de passe_password""), mp)",Chrome 81.0.4044.138,,,2020-05-21 14:46:41,2020-05-21 14:46:46,"4,416s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_IAD/input_Mot de passe_submit""))",Chrome 81.0.4044.138,,,2020-05-21 14:46:46,2020-05-21 14:46:58,"12,501s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_IAD/button_Dmarrer""))",Chrome 81.0.4044.138,,,2020-05-21 14:46:58,2020-05-21 14:47:01,"2,757s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_IAD/div_Quitter""))",Chrome 81.0.4044.138,,,2020-05-21 14:47:01,2020-05-21 14:47:04,"3,163s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_IAD/a_Production""))",Chrome 81.0.4044.138,,,2020-05-21 14:47:04,2020-05-21 14:47:07,"2,522s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_IAD/a_Myiad contacts""))",Chrome 81.0.4044.138,,,2020-05-21 14:47:07,2020-05-21 14:47:44,"37,071s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_IAD/button_Crer""))",Chrome 81.0.4044.138,,,2020-05-21 14:47:44,2020-05-21 14:48:00,"16,641s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_IAD/div_Nouveau contact_myiad-avatar""))",Chrome 81.0.4044.138,,,2020-05-21 14:48:00,2020-05-21 14:48:03,"2,605s",PASSED
Seq5 = Math.random() * 9 - 6,Chrome 81.0.4044.138,,,2020-05-21 14:48:03,2020-05-21 14:48:03,"0,008s",PASSED
seq55 = Seq5 * 100,Chrome 81.0.4044.138,,,2020-05-21 14:48:03,2020-05-21 14:48:03,"0,001s",PASSED
jdcontact = seq55,Chrome 81.0.4044.138,,,2020-05-21 14:48:03,2020-05-21 14:48:03,"0,001s",PASSED
jdcont = $jdcontact,Chrome 81.0.4044.138,,,2020-05-21 14:48:03,2020-05-21 14:48:03,"0,013s",PASSED
"firstname = ""test"" + jdcont",Chrome 81.0.4044.138,,,2020-05-21 14:48:03,2020-05-21 14:48:03,"0,001s",PASSED
println(firstname),Chrome 81.0.4044.138,,,2020-05-21 14:48:03,2020-05-21 14:48:03,"0,003s",PASSED
"setText(findTestObject(""Object Repository/CreationContact/Page_IAD/input_Prnom_firstName""), firstname)",Chrome 81.0.4044.138,,,2020-05-21 14:48:03,2020-05-21 14:48:08,"4,892s",PASSED
"lastname = ""test1"" + jdcont",Chrome 81.0.4044.138,,,2020-05-21 14:48:08,2020-05-21 14:48:08,"0,001s",PASSED
println(lastname),Chrome 81.0.4044.138,,,2020-05-21 14:48:08,2020-05-21 14:48:08,"0,000s",PASSED
"setText(findTestObject(""Object Repository/CreationContact/Page_IAD/input_Nom_lastName""), lastname)",Chrome 81.0.4044.138,,,2020-05-21 14:48:08,2020-05-21 14:48:13,"4,882s",PASSED
"usedname = ""test3"" + jdcont",Chrome 81.0.4044.138,,,2020-05-21 14:48:13,2020-05-21 14:48:13,"0,000s",PASSED
println(usedname),Chrome 81.0.4044.138,,,2020-05-21 14:48:13,2020-05-21 14:48:13,"0,000s",PASSED
"setText(findTestObject(""Object Repository/CreationContact/Page_IAD/input_concat(Nom d  usage)_usageName""), usedname)",Chrome 81.0.4044.138,,,2020-05-21 14:48:13,2020-05-21 14:48:18,"4,868s",PASSED
"jeunefille = ""test4"" + jdcont",Chrome 81.0.4044.138,,,2020-05-21 14:48:18,2020-05-21 14:48:18,"0,001s",PASSED
println(jeunefille),Chrome 81.0.4044.138,,,2020-05-21 14:48:18,2020-05-21 14:48:18,"0,000s",PASSED
"setText(findTestObject(""Object Repository/CreationContact/Page_IAD/input_Nom de jeune fille_birthName""), jeunefille)",Chrome 81.0.4044.138,,,2020-05-21 14:48:18,2020-05-21 14:48:22,"4,967s",PASSED
