Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Integration-IA-Contact,Chrome 81.0.4044.138,,,2020-05-20 11:56:46,2020-05-20 12:01:02,"4m - 16,145s",FAILED
,,,,,,,
Test Cases/Contact,Chrome 81.0.4044.138,,,2020-05-20 11:56:46,2020-05-20 11:59:45,"2m - 59,059s",PASSED
"openBrowser("""")",Chrome 81.0.4044.138,,,2020-05-20 11:56:46,2020-05-20 11:56:51,"4,347s",PASSED
navigateToUrl(URL),Chrome 81.0.4044.138,,,2020-05-20 11:56:51,2020-05-20 11:56:54,"3,490s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_Welcome page/button_Accder""))",Chrome 81.0.4044.138,,,2020-05-20 11:56:54,2020-05-20 11:56:58,"3,509s",PASSED
"setText(findTestObject(""Object Repository/CreationContact/Page_IAD/input_Identifiant_username""), usernameConseiller)",Chrome 81.0.4044.138,,,2020-05-20 11:56:58,2020-05-20 11:57:02,"4,737s",PASSED
"setEncryptedText(findTestObject(""Object Repository/CreationContact/Page_IAD/input_Mot de passe_password""), mp)",Chrome 81.0.4044.138,,,2020-05-20 11:57:02,2020-05-20 11:57:07,"4,411s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_IAD/input_Mot de passe_submit""))",Chrome 81.0.4044.138,,,2020-05-20 11:57:07,2020-05-20 11:57:17,"9,893s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_IAD/button_Dmarrer""))",Chrome 81.0.4044.138,,,2020-05-20 11:57:17,2020-05-20 11:57:19,"2,354s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_IAD/div_Quitter""))",Chrome 81.0.4044.138,,,2020-05-20 11:57:19,2020-05-20 11:57:22,"3,164s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_IAD/a_Production""))",Chrome 81.0.4044.138,,,2020-05-20 11:57:22,2020-05-20 11:57:25,"2,529s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_IAD/a_Myiad contacts""))",Chrome 81.0.4044.138,,,2020-05-20 11:57:25,2020-05-20 11:57:29,"3,852s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_IAD/button_Crer""))",Chrome 81.0.4044.138,,,2020-05-20 11:57:29,2020-05-20 11:57:36,"7,718s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_IAD/div_Nouveau contact_myiad-avatar""))",Chrome 81.0.4044.138,,,2020-05-20 11:57:36,2020-05-20 11:57:39,"2,586s",PASSED
Seq5 = Math.random() * 9 - 6,Chrome 81.0.4044.138,,,2020-05-20 11:57:39,2020-05-20 11:57:39,"0,014s",PASSED
seq55 = Seq5 * 100,Chrome 81.0.4044.138,,,2020-05-20 11:57:39,2020-05-20 11:57:39,"0,002s",PASSED
jdcontact = seq55,Chrome 81.0.4044.138,,,2020-05-20 11:57:39,2020-05-20 11:57:39,"0,002s",PASSED
jdcont = $jdcontact,Chrome 81.0.4044.138,,,2020-05-20 11:57:39,2020-05-20 11:57:39,"0,016s",PASSED
"firstname = ""test"" + jdcont",Chrome 81.0.4044.138,,,2020-05-20 11:57:39,2020-05-20 11:57:39,"0,001s",PASSED
println(firstname),Chrome 81.0.4044.138,,,2020-05-20 11:57:39,2020-05-20 11:57:39,"0,005s",PASSED
"setText(findTestObject(""Object Repository/CreationContact/Page_IAD/input_Prnom_firstName""), firstname)",Chrome 81.0.4044.138,,,2020-05-20 11:57:39,2020-05-20 11:57:44,"4,785s",PASSED
"lastname = ""test1"" + jdcont",Chrome 81.0.4044.138,,,2020-05-20 11:57:44,2020-05-20 11:57:44,"0,000s",PASSED
