Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Integration-IA-Contact,Chrome 81.0.4044.138,,,2020-05-20 11:53:03,2020-05-20 11:56:08,"3m - 4,913s",FAILED
,,,,,,,
Test Cases/Contact,Chrome 81.0.4044.138,,,2020-05-20 11:53:03,2020-05-20 11:56:02,"2m - 59,380s",PASSED
"openBrowser("""")",Chrome 81.0.4044.138,,,2020-05-20 11:53:04,2020-05-20 11:53:08,"4,339s",PASSED
navigateToUrl(URL),Chrome 81.0.4044.138,,,2020-05-20 11:53:08,2020-05-20 11:53:11,"3,502s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_Welcome page/button_Accder""))",Chrome 81.0.4044.138,,,2020-05-20 11:53:11,2020-05-20 11:53:15,"3,511s",PASSED
"setText(findTestObject(""Object Repository/CreationContact/Page_IAD/input_Identifiant_username""), usernameConseiller)",Chrome 81.0.4044.138,,,2020-05-20 11:53:15,2020-05-20 11:53:20,"4,838s",PASSED
"setEncryptedText(findTestObject(""Object Repository/CreationContact/Page_IAD/input_Mot de passe_password""), mp)",Chrome 81.0.4044.138,,,2020-05-20 11:53:20,2020-05-20 11:53:24,"4,409s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_IAD/input_Mot de passe_submit""))",Chrome 81.0.4044.138,,,2020-05-20 11:53:24,2020-05-20 11:53:31,"6,423s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_IAD/button_Dmarrer""))",Chrome 81.0.4044.138,,,2020-05-20 11:53:31,2020-05-20 11:53:33,"2,961s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_IAD/div_Quitter""))",Chrome 81.0.4044.138,,,2020-05-20 11:53:33,2020-05-20 11:53:37,"3,259s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_IAD/a_Production""))",Chrome 81.0.4044.138,,,2020-05-20 11:53:37,2020-05-20 11:53:39,"2,531s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_IAD/a_Myiad contacts""))",Chrome 81.0.4044.138,,,2020-05-20 11:53:39,2020-05-20 11:53:45,"5,586s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_IAD/button_Crer""))",Chrome 81.0.4044.138,,,2020-05-20 11:53:45,2020-05-20 11:53:54,"8,952s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_IAD/div_Nouveau contact_myiad-avatar""))",Chrome 81.0.4044.138,,,2020-05-20 11:53:54,2020-05-20 11:53:56,"2,592s",PASSED
Seq5 = Math.random() * 9 - 6,Chrome 81.0.4044.138,,,2020-05-20 11:53:56,2020-05-20 11:53:56,"0,008s",PASSED
seq55 = Seq5 * 100,Chrome 81.0.4044.138,,,2020-05-20 11:53:56,2020-05-20 11:53:56,"0,001s",PASSED
jdcontact = seq55,Chrome 81.0.4044.138,,,2020-05-20 11:53:56,2020-05-20 11:53:56,"0,002s",PASSED
jdcont = $jdcontact,Chrome 81.0.4044.138,,,2020-05-20 11:53:56,2020-05-20 11:53:56,"0,014s",PASSED
"firstname = ""test"" + jdcont",Chrome 81.0.4044.138,,,2020-05-20 11:53:56,2020-05-20 11:53:56,"0,001s",PASSED
println(firstname),Chrome 81.0.4044.138,,,2020-05-20 11:53:56,2020-05-20 11:53:56,"0,004s",PASSED
"setText(findTestObject(""Object Repository/CreationContact/Page_IAD/input_Prnom_firstName""), firstname)",Chrome 81.0.4044.138,,,2020-05-20 11:53:56,2020-05-20 11:54:01,"4,899s",PASSED
"lastname = ""test1"" + jdcont",Chrome 81.0.4044.138,,,2020-05-20 11:54:01,2020-05-20 11:54:01,"0,000s",PASSED
println(lastname),Chrome 81.0.4044.138,,,2020-05-20 11:54:01,2020-05-20 11:54:01,"0,001s",PASSED
"setText(findTestObject(""Object Repository/CreationContact/Page_IAD/input_Nom_lastName""), lastname)",Chrome 81.0.4044.138,,,2020-05-20 11:54:01,2020-05-20 11:54:06,"4,780s",PASSED
"usedname = ""test3"" + jdcont",Chrome 81.0.4044.138,,,2020-05-20 11:54:06,2020-05-20 11:54:06,"0,001s",PASSED
println(usedname),Chrome 81.0.4044.138,,,2020-05-20 11:54:06,2020-05-20 11:54:06,"0,001s",PASSED
"setText(findTestObject(""Object Repository/CreationContact/Page_IAD/input_concat(Nom d  usage)_usageName""), usedname)",Chrome 81.0.4044.138,,,2020-05-20 11:54:06,2020-05-20 11:54:11,"4,971s",PASSED
"jeunefille = ""test4"" + jdcont",Chrome 81.0.4044.138,,,2020-05-20 11:54:11,2020-05-20 11:54:11,"0,000s",PASSED
println(jeunefille),Chrome 81.0.4044.138,,,2020-05-20 11:54:11,2020-05-20 11:54:11,"0,000s",PASSED
"setText(findTestObject(""Object Repository/CreationContact/Page_IAD/input_Nom de jeune fille_birthName""), jeunefille)",Chrome 81.0.4044.138,,,2020-05-20 11:54:11,2020-05-20 11:54:16,"4,965s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_IAD/input_Date de naissance_birthDate""))",Chrome 81.0.4044.138,,,2020-05-20 11:54:16,2020-05-20 11:54:19,"2,634s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_IAD/span_13""))",Chrome 81.0.4044.138,,,2020-05-20 11:54:19,2020-05-20 11:54:21,"2,666s",PASSED
"datebirth = getAttribute(findTestObject(""CreationContact/Page_IAD/input_Date de naissance_birthDate""), ""value"")",Chrome 81.0.4044.138,,,2020-05-20 11:54:21,2020-05-20 11:54:22,"0,599s",PASSED
DateNaissance = datebirth,Chrome 81.0.4044.138,,,2020-05-20 11:54:22,2020-05-20 11:54:22,"0,001s",PASSED
println(DateNaissance),Chrome 81.0.4044.138,,,2020-05-20 11:54:22,2020-05-20 11:54:22,"0,000s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_IAD/span_Lieu de naissance_btn btn-default form_bf2c5d""))",Chrome 81.0.4044.138,,,2020-05-20 11:54:22,2020-05-20 11:54:24,"2,447s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_IAD/span_02""))",Chrome 81.0.4044.138,,,2020-05-20 11:54:24,2020-05-20 11:54:27,"2,873s",PASSED
"lieuBirth = ""test5"" + jdcont",Chrome 81.0.4044.138,,,2020-05-20 11:54:27,2020-05-20 11:54:27,"0,001s",PASSED
println(lieuBirth),Chrome 81.0.4044.138,,,2020-05-20 11:54:27,2020-05-20 11:54:27,"0,000s",PASSED
