Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Integration-IA-Contact,Chrome 81.0.4044.138,,,2020-05-20 12:02:20,2020-05-20 12:06:33,"4m - 12,936s",FAILED
,,,,,,,
Test Cases/Contact,Chrome 81.0.4044.138,,,2020-05-20 12:02:20,2020-05-20 12:05:15,"2m - 55,650s",PASSED
"openBrowser("""")",Chrome 81.0.4044.138,,,2020-05-20 12:02:20,2020-05-20 12:02:25,"4,481s",PASSED
navigateToUrl(URL),Chrome 81.0.4044.138,,,2020-05-20 12:02:25,2020-05-20 12:02:28,"3,373s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_Welcome page/button_Accder""))",Chrome 81.0.4044.138,,,2020-05-20 12:02:28,2020-05-20 12:02:32,"3,500s",PASSED
"setText(findTestObject(""Object Repository/CreationContact/Page_IAD/input_Identifiant_username""), usernameConseiller)",Chrome 81.0.4044.138,,,2020-05-20 12:02:32,2020-05-20 12:02:36,"4,834s",PASSED
"setEncryptedText(findTestObject(""Object Repository/CreationContact/Page_IAD/input_Mot de passe_password""), mp)",Chrome 81.0.4044.138,,,2020-05-20 12:02:36,2020-05-20 12:02:41,"4,408s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_IAD/input_Mot de passe_submit""))",Chrome 81.0.4044.138,,,2020-05-20 12:02:41,2020-05-20 12:02:46,"5,549s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_IAD/button_Dmarrer""))",Chrome 81.0.4044.138,,,2020-05-20 12:02:46,2020-05-20 12:02:50,"3,166s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_IAD/div_Quitter""))",Chrome 81.0.4044.138,,,2020-05-20 12:02:50,2020-05-20 12:02:53,"3,168s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_IAD/a_Production""))",Chrome 81.0.4044.138,,,2020-05-20 12:02:53,2020-05-20 12:02:55,"2,528s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_IAD/a_Myiad contacts""))",Chrome 81.0.4044.138,,,2020-05-20 12:02:55,2020-05-20 12:02:59,"3,710s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_IAD/button_Crer""))",Chrome 81.0.4044.138,,,2020-05-20 12:02:59,2020-05-20 12:03:07,"7,843s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_IAD/div_Nouveau contact_myiad-avatar""))",Chrome 81.0.4044.138,,,2020-05-20 12:03:07,2020-05-20 12:03:09,"2,587s",PASSED
Seq5 = Math.random() * 9 - 6,Chrome 81.0.4044.138,,,2020-05-20 12:03:09,2020-05-20 12:03:09,"0,011s",PASSED
seq55 = Seq5 * 100,Chrome 81.0.4044.138,,,2020-05-20 12:03:09,2020-05-20 12:03:09,"0,001s",PASSED
jdcontact = seq55,Chrome 81.0.4044.138,,,2020-05-20 12:03:09,2020-05-20 12:03:09,"0,002s",PASSED
jdcont = $jdcontact,Chrome 81.0.4044.138,,,2020-05-20 12:03:09,2020-05-20 12:03:09,"0,012s",PASSED
"firstname = ""test"" + jdcont",Chrome 81.0.4044.138,,,2020-05-20 12:03:09,2020-05-20 12:03:09,"0,001s",PASSED
println(firstname),Chrome 81.0.4044.138,,,2020-05-20 12:03:09,2020-05-20 12:03:09,"0,002s",PASSED
"setText(findTestObject(""Object Repository/CreationContact/Page_IAD/input_Prnom_firstName""), firstname)",Chrome 81.0.4044.138,,,2020-05-20 12:03:09,2020-05-20 12:03:14,"4,898s",PASSED
"lastname = ""test1"" + jdcont",Chrome 81.0.4044.138,,,2020-05-20 12:03:14,2020-05-20 12:03:14,"0,001s",PASSED
println(lastname),Chrome 81.0.4044.138,,,2020-05-20 12:03:14,2020-05-20 12:03:14,"0,000s",PASSED
"setText(findTestObject(""Object Repository/CreationContact/Page_IAD/input_Nom_lastName""), lastname)",Chrome 81.0.4044.138,,,2020-05-20 12:03:14,2020-05-20 12:03:19,"4,801s",PASSED
"usedname = ""test3"" + jdcont",Chrome 81.0.4044.138,,,2020-05-20 12:03:19,2020-05-20 12:03:19,"0,001s",PASSED
println(usedname),Chrome 81.0.4044.138,,,2020-05-20 12:03:19,2020-05-20 12:03:19,"0,000s",PASSED
"setText(findTestObject(""Object Repository/CreationContact/Page_IAD/input_concat(Nom d  usage)_usageName""), usedname)",Chrome 81.0.4044.138,,,2020-05-20 12:03:19,2020-05-20 12:03:24,"4,871s",PASSED
"jeunefille = ""test4"" + jdcont",Chrome 81.0.4044.138,,,2020-05-20 12:03:24,2020-05-20 12:03:24,"0,000s",PASSED
