Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Integration-IA-Contact,Chrome 81.0.4044.138,,,2020-05-20 13:11:34,2020-05-20 13:17:41,"6m - 6,637s",FAILED
,,,,,,,
Test Cases/Contact,Chrome 81.0.4044.138,,,2020-05-20 13:11:34,2020-05-20 13:15:32,"3m - 57,121s",PASSED
"openBrowser("""")",Chrome 81.0.4044.138,,,2020-05-20 13:11:35,2020-05-20 13:11:40,"5,079s",PASSED
navigateToUrl(URL),Chrome 81.0.4044.138,,,2020-05-20 13:11:40,2020-05-20 13:12:03,"22,732s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_Welcome page/button_Accder""))",Chrome 81.0.4044.138,,,2020-05-20 13:12:03,2020-05-20 13:12:26,"23,320s",PASSED
"setText(findTestObject(""Object Repository/CreationContact/Page_IAD/input_Identifiant_username""), usernameConseiller)",Chrome 81.0.4044.138,,,2020-05-20 13:12:26,2020-05-20 13:12:31,"4,740s",PASSED
"setEncryptedText(findTestObject(""Object Repository/CreationContact/Page_IAD/input_Mot de passe_password""), mp)",Chrome 81.0.4044.138,,,2020-05-20 13:12:31,2020-05-20 13:12:35,"4,414s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_IAD/input_Mot de passe_submit""))",Chrome 81.0.4044.138,,,2020-05-20 13:12:35,2020-05-20 13:13:02,"26,615s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_IAD/button_Dmarrer""))",Chrome 81.0.4044.138,,,2020-05-20 13:13:02,2020-05-20 13:13:04,"2,358s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_IAD/div_Quitter""))",Chrome 81.0.4044.138,,,2020-05-20 13:13:04,2020-05-20 13:13:07,"3,161s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_IAD/a_Production""))",Chrome 81.0.4044.138,,,2020-05-20 13:13:07,2020-05-20 13:13:10,"2,533s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_IAD/a_Myiad contacts""))",Chrome 81.0.4044.138,,,2020-05-20 13:13:10,2020-05-20 13:13:14,"4,479s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_IAD/button_Crer""))",Chrome 81.0.4044.138,,,2020-05-20 13:13:14,2020-05-20 13:13:23,"9,073s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_IAD/div_Nouveau contact_myiad-avatar""))",Chrome 81.0.4044.138,,,2020-05-20 13:13:23,2020-05-20 13:13:26,"2,559s",PASSED
Seq5 = Math.random() * 9 - 6,Chrome 81.0.4044.138,,,2020-05-20 13:13:26,2020-05-20 13:13:26,"0,009s",PASSED
seq55 = Seq5 * 100,Chrome 81.0.4044.138,,,2020-05-20 13:13:26,2020-05-20 13:13:26,"0,001s",PASSED
jdcontact = seq55,Chrome 81.0.4044.138,,,2020-05-20 13:13:26,2020-05-20 13:13:26,"0,003s",PASSED
jdcont = $jdcontact,Chrome 81.0.4044.138,,,2020-05-20 13:13:26,2020-05-20 13:13:26,"0,015s",PASSED
"firstname = ""test"" + jdcont",Chrome 81.0.4044.138,,,2020-05-20 13:13:26,2020-05-20 13:13:26,"0,001s",PASSED
println(firstname),Chrome 81.0.4044.138,,,2020-05-20 13:13:26,2020-05-20 13:13:26,"0,003s",PASSED
"setText(findTestObject(""Object Repository/CreationContact/Page_IAD/input_Prnom_firstName""), firstname)",Chrome 81.0.4044.138,,,2020-05-20 13:13:26,2020-05-20 13:13:31,"4,786s",PASSED
"lastname = ""test1"" + jdcont",Chrome 81.0.4044.138,,,2020-05-20 13:13:31,2020-05-20 13:13:31,"0,000s",PASSED
println(lastname),Chrome 81.0.4044.138,,,2020-05-20 13:13:31,2020-05-20 13:13:31,"0,000s",PASSED
"setText(findTestObject(""Object Repository/CreationContact/Page_IAD/input_Nom_lastName""), lastname)",Chrome 81.0.4044.138,,,2020-05-20 13:13:31,2020-05-20 13:13:36,"4,785s",PASSED
"usedname = ""test3"" + jdcont",Chrome 81.0.4044.138,,,2020-05-20 13:13:36,2020-05-20 13:13:36,"0,001s",PASSED
println(usedname),Chrome 81.0.4044.138,,,2020-05-20 13:13:36,2020-05-20 13:13:36,"0,000s",PASSED
"setText(findTestObject(""Object Repository/CreationContact/Page_IAD/input_concat(Nom d  usage)_usageName""), usedname)",Chrome 81.0.4044.138,,,2020-05-20 13:13:36,2020-05-20 13:13:41,"4,975s",PASSED
"jeunefille = ""test4"" + jdcont",Chrome 81.0.4044.138,,,2020-05-20 13:13:41,2020-05-20 13:13:41,"0,001s",PASSED
println(jeunefille),Chrome 81.0.4044.138,,,2020-05-20 13:13:41,2020-05-20 13:13:41,"0,000s",PASSED
"setText(findTestObject(""Object Repository/CreationContact/Page_IAD/input_Nom de jeune fille_birthName""), jeunefille)",Chrome 81.0.4044.138,,,2020-05-20 13:13:41,2020-05-20 13:13:46,"4,966s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_IAD/input_Date de naissance_birthDate""))",Chrome 81.0.4044.138,,,2020-05-20 13:13:46,2020-05-20 13:13:48,"2,734s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_IAD/span_13""))",Chrome 81.0.4044.138,,,2020-05-20 13:13:48,2020-05-20 13:13:51,"2,665s",PASSED
