Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Integration-IA-Contact,Chrome 81.0.4044.138,,,2020-05-20 12:45:23,2020-05-20 12:49:39,"4m - 16,353s",PASSED
,,,,,,,
Test Cases/Contact,Chrome 81.0.4044.138,,,2020-05-20 12:45:23,2020-05-20 12:48:56,"3m - 32,588s",PASSED
"openBrowser("""")",Chrome 81.0.4044.138,,,2020-05-20 12:45:24,2020-05-20 12:45:28,"4,707s",PASSED
navigateToUrl(URL),Chrome 81.0.4044.138,,,2020-05-20 12:45:28,2020-05-20 12:45:33,"4,475s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_Welcome page/button_Accder""))",Chrome 81.0.4044.138,,,2020-05-20 12:45:33,2020-05-20 12:45:54,"21,013s",PASSED
"setText(findTestObject(""Object Repository/CreationContact/Page_IAD/input_Identifiant_username""), usernameConseiller)",Chrome 81.0.4044.138,,,2020-05-20 12:45:54,2020-05-20 12:45:58,"4,740s",PASSED
"setEncryptedText(findTestObject(""Object Repository/CreationContact/Page_IAD/input_Mot de passe_password""), mp)",Chrome 81.0.4044.138,,,2020-05-20 12:45:58,2020-05-20 12:46:03,"4,414s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_IAD/input_Mot de passe_submit""))",Chrome 81.0.4044.138,,,2020-05-20 12:46:03,2020-05-20 12:46:28,"24,843s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_IAD/button_Dmarrer""))",Chrome 81.0.4044.138,,,2020-05-20 12:46:28,2020-05-20 12:46:30,"2,347s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_IAD/div_Quitter""))",Chrome 81.0.4044.138,,,2020-05-20 12:46:30,2020-05-20 12:46:33,"3,257s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_IAD/a_Production""))",Chrome 81.0.4044.138,,,2020-05-20 12:46:33,2020-05-20 12:46:36,"2,531s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_IAD/a_Myiad contacts""))",Chrome 81.0.4044.138,,,2020-05-20 12:46:36,2020-05-20 12:46:40,"3,706s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_IAD/button_Crer""))",Chrome 81.0.4044.138,,,2020-05-20 12:46:40,2020-05-20 12:46:47,"7,810s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_IAD/div_Nouveau contact_myiad-avatar""))",Chrome 81.0.4044.138,,,2020-05-20 12:46:47,2020-05-20 12:46:50,"2,571s",PASSED
Seq5 = Math.random() * 9 - 6,Chrome 81.0.4044.138,,,2020-05-20 12:46:50,2020-05-20 12:46:50,"0,014s",PASSED
seq55 = Seq5 * 100,Chrome 81.0.4044.138,,,2020-05-20 12:46:50,2020-05-20 12:46:50,"0,002s",PASSED
jdcontact = seq55,Chrome 81.0.4044.138,,,2020-05-20 12:46:50,2020-05-20 12:46:50,"0,003s",PASSED
jdcont = $jdcontact,Chrome 81.0.4044.138,,,2020-05-20 12:46:50,2020-05-20 12:46:50,"0,013s",PASSED
"firstname = ""test"" + jdcont",Chrome 81.0.4044.138,,,2020-05-20 12:46:50,2020-05-20 12:46:50,"0,000s",PASSED
println(firstname),Chrome 81.0.4044.138,,,2020-05-20 12:46:50,2020-05-20 12:46:50,"0,004s",PASSED
"setText(findTestObject(""Object Repository/CreationContact/Page_IAD/input_Prnom_firstName""), firstname)",Chrome 81.0.4044.138,,,2020-05-20 12:46:50,2020-05-20 12:46:55,"4,772s",PASSED
"lastname = ""test1"" + jdcont",Chrome 81.0.4044.138,,,2020-05-20 12:46:55,2020-05-20 12:46:55,"0,000s",PASSED
println(lastname),Chrome 81.0.4044.138,,,2020-05-20 12:46:55,2020-05-20 12:46:55,"0,001s",PASSED
"setText(findTestObject(""Object Repository/CreationContact/Page_IAD/input_Nom_lastName""), lastname)",Chrome 81.0.4044.138,,,2020-05-20 12:46:55,2020-05-20 12:47:00,"4,773s",PASSED
"usedname = ""test3"" + jdcont",Chrome 81.0.4044.138,,,2020-05-20 12:47:00,2020-05-20 12:47:00,"0,001s",PASSED
println(usedname),Chrome 81.0.4044.138,,,2020-05-20 12:47:00,2020-05-20 12:47:00,"0,001s",PASSED
"setText(findTestObject(""Object Repository/CreationContact/Page_IAD/input_concat(Nom d  usage)_usageName""), usedname)",Chrome 81.0.4044.138,,,2020-05-20 12:47:00,2020-05-20 12:47:05,"4,969s",PASSED
"jeunefille = ""test4"" + jdcont",Chrome 81.0.4044.138,,,2020-05-20 12:47:05,2020-05-20 12:47:05,"0,000s",PASSED
println(jeunefille),Chrome 81.0.4044.138,,,2020-05-20 12:47:05,2020-05-20 12:47:05,"0,000s",PASSED
"setText(findTestObject(""Object Repository/CreationContact/Page_IAD/input_Nom de jeune fille_birthName""), jeunefille)",Chrome 81.0.4044.138,,,2020-05-20 12:47:05,2020-05-20 12:47:09,"4,965s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_IAD/input_Date de naissance_birthDate""))",Chrome 81.0.4044.138,,,2020-05-20 12:47:09,2020-05-20 12:47:12,"2,740s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_IAD/span_13""))",Chrome 81.0.4044.138,,,2020-05-20 12:47:12,2020-05-20 12:47:15,"2,664s",PASSED
"datebirth = getAttribute(findTestObject(""CreationContact/Page_IAD/input_Date de naissance_birthDate""), ""value"")",Chrome 81.0.4044.138,,,2020-05-20 12:47:15,2020-05-20 12:47:15,"0,592s",PASSED
DateNaissance = datebirth,Chrome 81.0.4044.138,,,2020-05-20 12:47:15,2020-05-20 12:47:15,"0,000s",PASSED
println(DateNaissance),Chrome 81.0.4044.138,,,2020-05-20 12:47:15,2020-05-20 12:47:15,"0,000s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_IAD/span_Lieu de naissance_btn btn-default form_bf2c5d""))",Chrome 81.0.4044.138,,,2020-05-20 12:47:15,2020-05-20 12:47:18,"2,445s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_IAD/span_02""))",Chrome 81.0.4044.138,,,2020-05-20 12:47:18,2020-05-20 12:47:21,"2,899s",PASSED
"lieuBirth = ""test5"" + jdcont",Chrome 81.0.4044.138,,,2020-05-20 12:47:21,2020-05-20 12:47:21,"0,000s",PASSED
println(lieuBirth),Chrome 81.0.4044.138,,,2020-05-20 12:47:21,2020-05-20 12:47:21,"0,000s",PASSED
"setText(findTestObject(""Object Repository/CreationContact/Page_IAD/input_Lieu de naissance_birthPlace""), lieuBirth)",Chrome 81.0.4044.138,,,2020-05-20 12:47:21,2020-05-20 12:47:26,"5,052s",PASSED
