Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Integration-IA-Contact,Chrome 81.0.4044.138,,,2020-05-20 10:52:14,2020-05-20 10:55:54,"3m - 40,875s",FAILED
,,,,,,,
Test Cases/Contact,Chrome 81.0.4044.138,,,2020-05-20 10:52:14,2020-05-20 10:55:10,"2m - 56,107s",PASSED
"openBrowser("""")",Chrome 81.0.4044.138,,,2020-05-20 10:52:14,2020-05-20 10:52:19,"4,339s",PASSED
navigateToUrl(URL),Chrome 81.0.4044.138,,,2020-05-20 10:52:19,2020-05-20 10:52:22,"3,604s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_Welcome page/button_Accder""))",Chrome 81.0.4044.138,,,2020-05-20 10:52:22,2020-05-20 10:52:26,"3,739s",PASSED
"setText(findTestObject(""Object Repository/CreationContact/Page_IAD/input_Identifiant_username""), usernameConseiller)",Chrome 81.0.4044.138,,,2020-05-20 10:52:26,2020-05-20 10:52:31,"4,838s",PASSED
"setEncryptedText(findTestObject(""Object Repository/CreationContact/Page_IAD/input_Mot de passe_password""), mp)",Chrome 81.0.4044.138,,,2020-05-20 10:52:31,2020-05-20 10:52:35,"4,426s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_IAD/input_Mot de passe_submit""))",Chrome 81.0.4044.138,,,2020-05-20 10:52:35,2020-05-20 10:52:41,"6,331s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_IAD/button_Dmarrer""))",Chrome 81.0.4044.138,,,2020-05-20 10:52:41,2020-05-20 10:52:45,"3,280s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_IAD/div_Quitter""))",Chrome 81.0.4044.138,,,2020-05-20 10:52:45,2020-05-20 10:52:48,"3,160s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_IAD/a_Production""))",Chrome 81.0.4044.138,,,2020-05-20 10:52:48,2020-05-20 10:52:50,"2,522s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_IAD/a_Myiad contacts""))",Chrome 81.0.4044.138,,,2020-05-20 10:52:50,2020-05-20 10:52:54,"3,544s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_IAD/button_Crer""))",Chrome 81.0.4044.138,,,2020-05-20 10:52:54,2020-05-20 10:53:02,"8,005s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_IAD/div_Nouveau contact_myiad-avatar""))",Chrome 81.0.4044.138,,,2020-05-20 10:53:02,2020-05-20 10:53:05,"2,563s",PASSED
Seq5 = Math.random() * 9 - 6,Chrome 81.0.4044.138,,,2020-05-20 10:53:05,2020-05-20 10:53:05,"0,013s",PASSED
seq55 = Seq5 * 100,Chrome 81.0.4044.138,,,2020-05-20 10:53:05,2020-05-20 10:53:05,"0,002s",PASSED
jdcontact = seq55,Chrome 81.0.4044.138,,,2020-05-20 10:53:05,2020-05-20 10:53:05,"0,002s",PASSED
jdcont = $jdcontact,Chrome 81.0.4044.138,,,2020-05-20 10:53:05,2020-05-20 10:53:05,"0,017s",PASSED
"firstname = ""test"" + jdcont",Chrome 81.0.4044.138,,,2020-05-20 10:53:05,2020-05-20 10:53:05,"0,001s",PASSED
println(firstname),Chrome 81.0.4044.138,,,2020-05-20 10:53:05,2020-05-20 10:53:05,"0,004s",PASSED
"setText(findTestObject(""Object Repository/CreationContact/Page_IAD/input_Prnom_firstName""), firstname)",Chrome 81.0.4044.138,,,2020-05-20 10:53:05,2020-05-20 10:53:09,"4,779s",PASSED
"lastname = ""test1"" + jdcont",Chrome 81.0.4044.138,,,2020-05-20 10:53:09,2020-05-20 10:53:09,"0,001s",PASSED
println(lastname),Chrome 81.0.4044.138,,,2020-05-20 10:53:09,2020-05-20 10:53:09,"0,000s",PASSED
"setText(findTestObject(""Object Repository/CreationContact/Page_IAD/input_Nom_lastName""), lastname)",Chrome 81.0.4044.138,,,2020-05-20 10:53:09,2020-05-20 10:53:14,"4,771s",PASSED
"usedname = ""test3"" + jdcont",Chrome 81.0.4044.138,,,2020-05-20 10:53:14,2020-05-20 10:53:14,"0,001s",PASSED
println(usedname),Chrome 81.0.4044.138,,,2020-05-20 10:53:14,2020-05-20 10:53:14,"0,001s",PASSED
"setText(findTestObject(""Object Repository/CreationContact/Page_IAD/input_concat(Nom d  usage)_usageName""), usedname)",Chrome 81.0.4044.138,,,2020-05-20 10:53:14,2020-05-20 10:53:19,"4,957s",PASSED
