Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Integration-IA-Contact,Chrome 81.0.4044.138,,,2020-05-20 10:03:46,2020-05-20 10:07:41,"3m - 54,681s",FAILED
,,,,,,,
Test Cases/Contact,Chrome 81.0.4044.138,,,2020-05-20 10:03:46,2020-05-20 10:06:54,"3m - 7,372s",FAILED
"openBrowser("""")",Chrome 81.0.4044.138,,,2020-05-20 10:03:47,2020-05-20 10:03:51,"4,436s",PASSED
navigateToUrl(URL),Chrome 81.0.4044.138,,,2020-05-20 10:03:51,2020-05-20 10:03:55,"3,531s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_Welcome page/button_Accder""))",Chrome 81.0.4044.138,,,2020-05-20 10:03:55,2020-05-20 10:03:58,"3,932s",PASSED
"setText(findTestObject(""Object Repository/CreationContact/Page_IAD/input_Identifiant_username""), usernameConseiller)",Chrome 81.0.4044.138,,,2020-05-20 10:03:58,2020-05-20 10:04:03,"4,740s",PASSED
"setEncryptedText(findTestObject(""Object Repository/CreationContact/Page_IAD/input_Mot de passe_password""), mp)",Chrome 81.0.4044.138,,,2020-05-20 10:04:03,2020-05-20 10:04:08,"4,419s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_IAD/input_Mot de passe_submit""))",Chrome 81.0.4044.138,,,2020-05-20 10:04:08,2020-05-20 10:04:15,"7,665s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_IAD/button_Dmarrer""))",Chrome 81.0.4044.138,,,2020-05-20 10:04:15,2020-05-20 10:04:22,"6,440s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_IAD/div_Quitter""))",Chrome 81.0.4044.138,,,2020-05-20 10:04:22,2020-05-20 10:04:25,"3,168s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_IAD/a_Production""))",Chrome 81.0.4044.138,,,2020-05-20 10:04:25,2020-05-20 10:04:27,"2,524s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_IAD/a_Myiad contacts""))",Chrome 81.0.4044.138,,,2020-05-20 10:04:27,2020-05-20 10:04:31,"3,498s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_IAD/button_Crer""))",Chrome 81.0.4044.138,,,2020-05-20 10:04:31,2020-05-20 10:04:41,"10,466s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_IAD/div_Nouveau contact_myiad-avatar""))",Chrome 81.0.4044.138,,,2020-05-20 10:04:41,2020-05-20 10:04:44,"2,670s",PASSED
Seq5 = Math.random() * 9 - 6,Chrome 81.0.4044.138,,,2020-05-20 10:04:44,2020-05-20 10:04:44,"0,010s",PASSED
seq55 = Seq5 * 100,Chrome 81.0.4044.138,,,2020-05-20 10:04:44,2020-05-20 10:04:44,"0,001s",PASSED
jdcontact = seq55,Chrome 81.0.4044.138,,,2020-05-20 10:04:44,2020-05-20 10:04:44,"0,001s",PASSED
jdcont = $jdcontact,Chrome 81.0.4044.138,,,2020-05-20 10:04:44,2020-05-20 10:04:44,"0,015s",PASSED
"firstname = ""test"" + jdcont",Chrome 81.0.4044.138,,,2020-05-20 10:04:44,2020-05-20 10:04:44,"0,000s",PASSED
println(firstname),Chrome 81.0.4044.138,,,2020-05-20 10:04:44,2020-05-20 10:04:44,"0,003s",PASSED
"setText(findTestObject(""Object Repository/CreationContact/Page_IAD/input_Prnom_firstName""), firstname)",Chrome 81.0.4044.138,,,2020-05-20 10:04:44,2020-05-20 10:04:49,"4,892s",PASSED
"lastname = ""test1"" + jdcont",Chrome 81.0.4044.138,,,2020-05-20 10:04:49,2020-05-20 10:04:49,"0,000s",PASSED
println(lastname),Chrome 81.0.4044.138,,,2020-05-20 10:04:49,2020-05-20 10:04:49,"0,001s",PASSED
"setText(findTestObject(""Object Repository/CreationContact/Page_IAD/input_Nom_lastName""), lastname)",Chrome 81.0.4044.138,,,2020-05-20 10:04:49,2020-05-20 10:04:54,"4,778s",PASSED
"usedname = ""test3"" + jdcont",Chrome 81.0.4044.138,,,2020-05-20 10:04:54,2020-05-20 10:04:54,"0,000s",PASSED
println(usedname),Chrome 81.0.4044.138,,,2020-05-20 10:04:54,2020-05-20 10:04:54,"0,000s",PASSED
"setText(findTestObject(""Object Repository/CreationContact/Page_IAD/input_concat(Nom d  usage)_usageName""), usedname)",Chrome 81.0.4044.138,,,2020-05-20 10:04:54,2020-05-20 10:04:59,"4,991s",PASSED
"jeunefille = ""test4"" + jdcont",Chrome 81.0.4044.138,,,2020-05-20 10:04:59,2020-05-20 10:04:59,"0,001s",PASSED
