Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Integration-IA-Contact,Chrome 81.0.4044.138,,,2020-05-21 11:48:27,2020-05-21 11:53:57,"5m - 29,444s",FAILED
,,,,,,,
Test Cases/Contact,Chrome 81.0.4044.138,,,2020-05-21 11:48:28,2020-05-21 11:51:51,"3m - 22,798s",PASSED
"openBrowser("""")",Chrome 81.0.4044.138,,,2020-05-21 11:48:29,2020-05-21 11:48:35,"6,190s",PASSED
navigateToUrl(URL),Chrome 81.0.4044.138,,,2020-05-21 11:48:35,2020-05-21 11:48:40,"4,678s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_Welcome page/button_Accder""))",Chrome 81.0.4044.138,,,2020-05-21 11:48:40,2020-05-21 11:48:44,"4,194s",PASSED
"setText(findTestObject(""Object Repository/CreationContact/Page_IAD/input_Identifiant_username""), usernameConseiller)",Chrome 81.0.4044.138,,,2020-05-21 11:48:44,2020-05-21 11:48:49,"5,011s",PASSED
"setEncryptedText(findTestObject(""Object Repository/CreationContact/Page_IAD/input_Mot de passe_password""), mp)",Chrome 81.0.4044.138,,,2020-05-21 11:48:49,2020-05-21 11:48:54,"4,780s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_IAD/input_Mot de passe_submit""))",Chrome 81.0.4044.138,,,2020-05-21 11:48:54,2020-05-21 11:49:00,"6,848s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_IAD/button_Dmarrer""))",Chrome 81.0.4044.138,,,2020-05-21 11:49:00,2020-05-21 11:49:03,"3,086s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_IAD/div_Quitter""))",Chrome 81.0.4044.138,,,2020-05-21 11:49:03,2020-05-21 11:49:07,"3,410s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_IAD/a_Production""))",Chrome 81.0.4044.138,,,2020-05-21 11:49:07,2020-05-21 11:49:09,"2,599s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_IAD/a_Myiad contacts""))",Chrome 81.0.4044.138,,,2020-05-21 11:49:09,2020-05-21 11:49:14,"4,470s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_IAD/button_Crer""))",Chrome 81.0.4044.138,,,2020-05-21 11:49:14,2020-05-21 11:49:27,"12,811s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_IAD/div_Nouveau contact_myiad-avatar""))",Chrome 81.0.4044.138,,,2020-05-21 11:49:27,2020-05-21 11:49:30,"2,966s",PASSED
Seq5 = Math.random() * 9 - 6,Chrome 81.0.4044.138,,,2020-05-21 11:49:30,2020-05-21 11:49:30,"0,028s",PASSED
seq55 = Seq5 * 100,Chrome 81.0.4044.138,,,2020-05-21 11:49:30,2020-05-21 11:49:30,"0,003s",PASSED
jdcontact = seq55,Chrome 81.0.4044.138,,,2020-05-21 11:49:30,2020-05-21 11:49:30,"0,004s",PASSED
jdcont = $jdcontact,Chrome 81.0.4044.138,,,2020-05-21 11:49:30,2020-05-21 11:49:30,"0,032s",PASSED
"firstname = ""test"" + jdcont",Chrome 81.0.4044.138,,,2020-05-21 11:49:30,2020-05-21 11:49:30,"0,001s",PASSED
println(firstname),Chrome 81.0.4044.138,,,2020-05-21 11:49:30,2020-05-21 11:49:30,"0,009s",PASSED
"setText(findTestObject(""Object Repository/CreationContact/Page_IAD/input_Prnom_firstName""), firstname)",Chrome 81.0.4044.138,,,2020-05-21 11:49:30,2020-05-21 11:49:35,"5,157s",PASSED
"lastname = ""test1"" + jdcont",Chrome 81.0.4044.138,,,2020-05-21 11:49:35,2020-05-21 11:49:35,"0,003s",PASSED
println(lastname),Chrome 81.0.4044.138,,,2020-05-21 11:49:35,2020-05-21 11:49:35,"0,003s",PASSED
"setText(findTestObject(""Object Repository/CreationContact/Page_IAD/input_Nom_lastName""), lastname)",Chrome 81.0.4044.138,,,2020-05-21 11:49:35,2020-05-21 11:49:40,"5,212s",PASSED
"usedname = ""test3"" + jdcont",Chrome 81.0.4044.138,,,2020-05-21 11:49:40,2020-05-21 11:49:40,"0,002s",PASSED
println(usedname),Chrome 81.0.4044.138,,,2020-05-21 11:49:40,2020-05-21 11:49:40,"0,002s",PASSED
"setText(findTestObject(""Object Repository/CreationContact/Page_IAD/input_concat(Nom d  usage)_usageName""), usedname)",Chrome 81.0.4044.138,,,2020-05-21 11:49:40,2020-05-21 11:49:45,"5,162s",PASSED
"jeunefille = ""test4"" + jdcont",Chrome 81.0.4044.138,,,2020-05-21 11:49:45,2020-05-21 11:49:45,"0,002s",PASSED
println(jeunefille),Chrome 81.0.4044.138,,,2020-05-21 11:49:45,2020-05-21 11:49:45,"0,003s",PASSED
"setText(findTestObject(""Object Repository/CreationContact/Page_IAD/input_Nom de jeune fille_birthName""), jeunefille)",Chrome 81.0.4044.138,,,2020-05-21 11:49:45,2020-05-21 11:49:51,"5,204s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_IAD/input_Date de naissance_birthDate""))",Chrome 81.0.4044.138,,,2020-05-21 11:49:51,2020-05-21 11:49:53,"2,815s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_IAD/span_13""))",Chrome 81.0.4044.138,,,2020-05-21 11:49:53,2020-05-21 11:49:56,"2,984s",PASSED
"datebirth = getAttribute(findTestObject(""CreationContact/Page_IAD/input_Date de naissance_birthDate""), ""value"")",Chrome 81.0.4044.138,,,2020-05-21 11:49:56,2020-05-21 11:49:57,"0,783s",PASSED
DateNaissance = datebirth,Chrome 81.0.4044.138,,,2020-05-21 11:49:57,2020-05-21 11:49:57,"0,002s",PASSED
println(DateNaissance),Chrome 81.0.4044.138,,,2020-05-21 11:49:57,2020-05-21 11:49:57,"0,002s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_IAD/span_Lieu de naissance_btn btn-default form_bf2c5d""))",Chrome 81.0.4044.138,,,2020-05-21 11:49:57,2020-05-21 11:50:00,"2,760s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_IAD/span_02""))",Chrome 81.0.4044.138,,,2020-05-21 11:50:00,2020-05-21 11:50:03,"3,214s",PASSED
