Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Integration-IA-Contact,Chrome 81.0.4044.138,,,2020-05-20 11:03:48,2020-05-20 11:06:48,"3m - 0,440s",FAILED
,,,,,,,
Test Cases/Contact,Chrome 81.0.4044.138,,,2020-05-20 11:03:48,2020-05-20 11:06:43,"2m - 54,928s",PASSED
"openBrowser("""")",Chrome 81.0.4044.138,,,2020-05-20 11:03:48,2020-05-20 11:03:53,"4,447s",PASSED
navigateToUrl(URL),Chrome 81.0.4044.138,,,2020-05-20 11:03:53,2020-05-20 11:03:56,"3,410s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_Welcome page/button_Accder""))",Chrome 81.0.4044.138,,,2020-05-20 11:03:56,2020-05-20 11:04:00,"3,531s",PASSED
"setText(findTestObject(""Object Repository/CreationContact/Page_IAD/input_Identifiant_username""), usernameConseiller)",Chrome 81.0.4044.138,,,2020-05-20 11:04:00,2020-05-20 11:04:05,"4,832s",PASSED
"setEncryptedText(findTestObject(""Object Repository/CreationContact/Page_IAD/input_Mot de passe_password""), mp)",Chrome 81.0.4044.138,,,2020-05-20 11:04:05,2020-05-20 11:04:09,"4,405s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_IAD/input_Mot de passe_submit""))",Chrome 81.0.4044.138,,,2020-05-20 11:04:09,2020-05-20 11:04:15,"5,832s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_IAD/button_Dmarrer""))",Chrome 81.0.4044.138,,,2020-05-20 11:04:15,2020-05-20 11:04:18,"3,063s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_IAD/div_Quitter""))",Chrome 81.0.4044.138,,,2020-05-20 11:04:18,2020-05-20 11:04:21,"3,155s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_IAD/a_Production""))",Chrome 81.0.4044.138,,,2020-05-20 11:04:21,2020-05-20 11:04:24,"2,528s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_IAD/a_Myiad contacts""))",Chrome 81.0.4044.138,,,2020-05-20 11:04:24,2020-05-20 11:04:28,"4,021s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_IAD/button_Crer""))",Chrome 81.0.4044.138,,,2020-05-20 11:04:28,2020-05-20 11:04:35,"7,793s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_IAD/div_Nouveau contact_myiad-avatar""))",Chrome 81.0.4044.138,,,2020-05-20 11:04:35,2020-05-20 11:04:38,"2,592s",PASSED
Seq5 = Math.random() * 9 - 6,Chrome 81.0.4044.138,,,2020-05-20 11:04:38,2020-05-20 11:04:38,"0,010s",PASSED
seq55 = Seq5 * 100,Chrome 81.0.4044.138,,,2020-05-20 11:04:38,2020-05-20 11:04:38,"0,001s",PASSED
jdcontact = seq55,Chrome 81.0.4044.138,,,2020-05-20 11:04:38,2020-05-20 11:04:38,"0,003s",PASSED
jdcont = $jdcontact,Chrome 81.0.4044.138,,,2020-05-20 11:04:38,2020-05-20 11:04:38,"0,017s",PASSED
"firstname = ""test"" + jdcont",Chrome 81.0.4044.138,,,2020-05-20 11:04:38,2020-05-20 11:04:38,"0,001s",PASSED
println(firstname),Chrome 81.0.4044.138,,,2020-05-20 11:04:38,2020-05-20 11:04:38,"0,004s",PASSED
"setText(findTestObject(""Object Repository/CreationContact/Page_IAD/input_Prnom_firstName""), firstname)",Chrome 81.0.4044.138,,,2020-05-20 11:04:38,2020-05-20 11:04:43,"4,776s",PASSED
"lastname = ""test1"" + jdcont",Chrome 81.0.4044.138,,,2020-05-20 11:04:43,2020-05-20 11:04:43,"0,001s",PASSED
println(lastname),Chrome 81.0.4044.138,,,2020-05-20 11:04:43,2020-05-20 11:04:43,"0,001s",PASSED
"setText(findTestObject(""Object Repository/CreationContact/Page_IAD/input_Nom_lastName""), lastname)",Chrome 81.0.4044.138,,,2020-05-20 11:04:43,2020-05-20 11:04:48,"4,773s",PASSED
"usedname = ""test3"" + jdcont",Chrome 81.0.4044.138,,,2020-05-20 11:04:48,2020-05-20 11:04:48,"0,000s",PASSED
println(usedname),Chrome 81.0.4044.138,,,2020-05-20 11:04:48,2020-05-20 11:04:48,"0,001s",PASSED
"setText(findTestObject(""Object Repository/CreationContact/Page_IAD/input_concat(Nom d  usage)_usageName""), usedname)",Chrome 81.0.4044.138,,,2020-05-20 11:04:48,2020-05-20 11:04:53,"4,964s",PASSED
"jeunefille = ""test4"" + jdcont",Chrome 81.0.4044.138,,,2020-05-20 11:04:53,2020-05-20 11:04:53,"0,000s",PASSED
println(jeunefille),Chrome 81.0.4044.138,,,2020-05-20 11:04:53,2020-05-20 11:04:53,"0,000s",PASSED
"setText(findTestObject(""Object Repository/CreationContact/Page_IAD/input_Nom de jeune fille_birthName""), jeunefille)",Chrome 81.0.4044.138,,,2020-05-20 11:04:53,2020-05-20 11:04:57,"4,958s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_IAD/input_Date de naissance_birthDate""))",Chrome 81.0.4044.138,,,2020-05-20 11:04:57,2020-05-20 11:05:00,"2,753s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_IAD/span_13""))",Chrome 81.0.4044.138,,,2020-05-20 11:05:00,2020-05-20 11:05:03,"2,659s",PASSED
"datebirth = getAttribute(findTestObject(""CreationContact/Page_IAD/input_Date de naissance_birthDate""), ""value"")",Chrome 81.0.4044.138,,,2020-05-20 11:05:03,2020-05-20 11:05:04,"0,611s",PASSED
DateNaissance = datebirth,Chrome 81.0.4044.138,,,2020-05-20 11:05:04,2020-05-20 11:05:04,"0,000s",PASSED
println(DateNaissance),Chrome 81.0.4044.138,,,2020-05-20 11:05:04,2020-05-20 11:05:04,"0,001s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_IAD/span_Lieu de naissance_btn btn-default form_bf2c5d""))",Chrome 81.0.4044.138,,,2020-05-20 11:05:04,2020-05-20 11:05:06,"2,437s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_IAD/span_02""))",Chrome 81.0.4044.138,,,2020-05-20 11:05:06,2020-05-20 11:05:09,"2,886s",PASSED
"lieuBirth = ""test5"" + jdcont",Chrome 81.0.4044.138,,,2020-05-20 11:05:09,2020-05-20 11:05:09,"0,001s",PASSED
println(lieuBirth),Chrome 81.0.4044.138,,,2020-05-20 11:05:09,2020-05-20 11:05:09,"0,001s",PASSED
"setText(findTestObject(""Object Repository/CreationContact/Page_IAD/input_Lieu de naissance_birthPlace""), lieuBirth)",Chrome 81.0.4044.138,,,2020-05-20 11:05:09,2020-05-20 11:05:14,"4,963s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_IAD/span_Choisir""))",Chrome 81.0.4044.138,,,2020-05-20 11:05:14,2020-05-20 11:05:17,"2,954s",PASSED
"setText(findTestObject(""Object Repository/CreationContact/Page_IAD/input_Choisir_form-control ui-select-search_780576""), ""France"")",Chrome 81.0.4044.138,,,2020-05-20 11:05:17,2020-05-20 11:05:23,"5,946s",PASSED
"pays1 = getText(findTestObject(""CreationContact/Page_IAD/span_FRANCE""))",Chrome 81.0.4044.138,,,2020-05-20 11:05:23,2020-05-20 11:05:23,"0,510s",PASSED
"click(findTestObject(""CreationContact/Page_IAD/span_FRANCE""))",Chrome 81.0.4044.138,,,2020-05-20 11:05:23,2020-05-20 11:05:26,"2,319s",PASSED
pays = pays1,Chrome 81.0.4044.138,,,2020-05-20 11:05:26,2020-05-20 11:05:26,"0,001s",PASSED
println(pays),Chrome 81.0.4044.138,,,2020-05-20 11:05:26,2020-05-20 11:05:26,"0,000s",PASSED
"profession = ""test8"" + jdcont",Chrome 81.0.4044.138,,,2020-05-20 11:05:26,2020-05-20 11:05:26,"0,000s",PASSED
"setText(findTestObject(""Object Repository/CreationContact/Page_IAD/input_Profession_job""), profession)",Chrome 81.0.4044.138,,,2020-05-20 11:05:26,2020-05-20 11:05:30,"4,682s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_IAD/span_Contact  Adresse""))",Chrome 81.0.4044.138,,,2020-05-20 11:05:30,2020-05-20 11:05:33,"2,707s",PASSED
Seqphone = Math.random() * 9 - 6,Chrome 81.0.4044.138,,,2020-05-20 11:05:33,2020-05-20 11:05:33,"0,001s",PASSED
ifseq = Seqphone,Chrome 81.0.4044.138,,,2020-05-20 11:05:33,2020-05-20 11:05:33,"0,001s",PASSED
if (ifseq == 0),Chrome 81.0.4044.138,,,2020-05-20 11:05:33,2020-05-20 11:05:33,"0,001s",PASSED
else,Chrome 81.0.4044.138,,,2020-05-20 11:05:33,2020-05-20 11:05:33,"0,001s",PASSED
phone = phoneseq1,Chrome 81.0.4044.138,,,2020-05-20 11:05:33,2020-05-20 11:05:33,"0,000s",PASSED
println(phone),Chrome 81.0.4044.138,,,2020-05-20 11:05:33,2020-05-20 11:05:33,"0,001s",PASSED
"phone1 = ""06"" + phone",Chrome 81.0.4044.138,,,2020-05-20 11:05:33,2020-05-20 11:05:33,"0,000s",PASSED
println(phone1),Chrome 81.0.4044.138,,,2020-05-20 11:05:33,2020-05-20 11:05:33,"0,000s",PASSED
"setText(findTestObject(""Object Repository/CreationContact/Page_IAD/input_Tlphone_phone2""), phone1)",Chrome 81.0.4044.138,,,2020-05-20 11:05:33,2020-05-20 11:05:38,"5,192s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_IAD/span_Ajouter un tlphone_fa fa-plus""))",Chrome 81.0.4044.138,,,2020-05-20 11:05:38,2020-05-20 11:05:41,"2,831s",PASSED
"phone2 = ""01"" + phone",Chrome 81.0.4044.138,,,2020-05-20 11:05:41,2020-05-20 11:05:41,"0,000s",PASSED
println(phone2),Chrome 81.0.4044.138,,,2020-05-20 11:05:41,2020-05-20 11:05:41,"0,001s",PASSED
"setText(findTestObject(""Object Repository/CreationContact/Page_IAD/input_Tlphone_phone4""), phone2)",Chrome 81.0.4044.138,,,2020-05-20 11:05:41,2020-05-20 11:05:46,"5,084s",PASSED
"email1 = ""test6."" + phone + ""@gmail.com""",Chrome 81.0.4044.138,,,2020-05-20 11:05:46,2020-05-20 11:05:46,"0,000s",PASSED
println(email1),Chrome 81.0.4044.138,,,2020-05-20 11:05:46,2020-05-20 11:05:46,"0,001s",PASSED
"setText(findTestObject(""Object Repository/CreationContact/Page_IAD/input_E-mail personnel_emailPersonal-3""), email1)",Chrome 81.0.4044.138,,,2020-05-20 11:05:46,2020-05-20 11:05:51,"5,371s",PASSED
"click(findTestObject(""CreationContact/Page_IAD/button_Ajouter un email_btn btn-primary btn-add""))",Chrome 81.0.4044.138,,,2020-05-20 11:05:51,2020-05-20 11:05:54,"2,656s",PASSED
"email2 = ""test7."" + phone + ""@gmail.com""",Chrome 81.0.4044.138,,,2020-05-20 11:05:54,2020-05-20 11:05:54,"0,001s",PASSED
println(email2),Chrome 81.0.4044.138,,,2020-05-20 11:05:54,2020-05-20 11:05:54,"0,000s",PASSED
"setText(findTestObject(""Object Repository/CreationContact/Page_IAD/input_E-mail personnel_emailPersonal-5""), email2)",Chrome 81.0.4044.138,,,2020-05-20 11:05:54,2020-05-20 11:05:59,"5,262s",PASSED
"click(findTestObject(""CreationContact/Page_Welcome page/Page_IAD/span_FRANCE""))",Chrome 81.0.4044.138,,,2020-05-20 11:05:59,2020-05-20 11:06:02,"2,552s",PASSED
"setText(findTestObject(""CreationContact/Page_IAD/input_FRANCE_form-control ui-select-search _8034ae""), ""France"")",Chrome 81.0.4044.138,,,2020-05-20 11:06:02,2020-05-20 11:06:07,"4,979s",PASSED
delay(1),Chrome 81.0.4044.138,,,2020-05-20 11:06:07,2020-05-20 11:06:08,"1,021s",PASSED
"sendKeys(findTestObject(""CreationContact/Page_IAD/input_FRANCE_form-control ui-select-search _8034ae""), Keys.chord(ARROW_DOWN))",Chrome 81.0.4044.138,,,2020-05-20 11:06:08,2020-05-20 11:06:10,"2,306s",PASSED
"sendKeys(findTestObject(""CreationContact/Page_IAD/input_FRANCE_form-control ui-select-search _8034ae""), Keys.chord(INSERT))",Chrome 81.0.4044.138,,,2020-05-20 11:06:10,2020-05-20 11:06:12,"2,287s",PASSED
delay(4),Chrome 81.0.4044.138,,,2020-05-20 11:06:12,2020-05-20 11:06:16,"4,003s",PASSED
"setText(findTestObject(""Object Repository/CreationContact/Page_IAD/input_Adresse_address1""), ""a"")",Chrome 81.0.4044.138,,,2020-05-20 11:06:16,2020-05-20 11:06:22,"5,129s",PASSED
