Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Integration-IA-Contact,Chrome 81.0.4044.138,,,2020-05-21 11:34:11,2020-05-21 11:39:32,"5m - 21,411s",FAILED
,,,,,,,
Test Cases/Contact,Chrome 81.0.4044.138,,,2020-05-21 11:34:11,2020-05-21 11:37:34,"3m - 22,798s",PASSED
"openBrowser("""")",Chrome 81.0.4044.138,,,2020-05-21 11:34:12,2020-05-21 11:34:19,"6,808s",PASSED
navigateToUrl(URL),Chrome 81.0.4044.138,,,2020-05-21 11:34:19,2020-05-21 11:34:24,"4,449s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_Welcome page/button_Accder""))",Chrome 81.0.4044.138,,,2020-05-21 11:34:24,2020-05-21 11:34:28,"3,984s",PASSED
"setText(findTestObject(""Object Repository/CreationContact/Page_IAD/input_Identifiant_username""), usernameConseiller)",Chrome 81.0.4044.138,,,2020-05-21 11:34:28,2020-05-21 11:34:33,"4,952s",PASSED
"setEncryptedText(findTestObject(""Object Repository/CreationContact/Page_IAD/input_Mot de passe_password""), mp)",Chrome 81.0.4044.138,,,2020-05-21 11:34:33,2020-05-21 11:34:37,"4,799s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_IAD/input_Mot de passe_submit""))",Chrome 81.0.4044.138,,,2020-05-21 11:34:37,2020-05-21 11:34:45,"7,355s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_IAD/button_Dmarrer""))",Chrome 81.0.4044.138,,,2020-05-21 11:34:45,2020-05-21 11:34:48,"3,018s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_IAD/div_Quitter""))",Chrome 81.0.4044.138,,,2020-05-21 11:34:48,2020-05-21 11:34:51,"3,334s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_IAD/a_Production""))",Chrome 81.0.4044.138,,,2020-05-21 11:34:51,2020-05-21 11:34:54,"2,596s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_IAD/a_Myiad contacts""))",Chrome 81.0.4044.138,,,2020-05-21 11:34:54,2020-05-21 11:34:58,"4,455s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_IAD/button_Crer""))",Chrome 81.0.4044.138,,,2020-05-21 11:34:58,2020-05-21 11:35:11,"12,527s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_IAD/div_Nouveau contact_myiad-avatar""))",Chrome 81.0.4044.138,,,2020-05-21 11:35:11,2020-05-21 11:35:14,"2,912s",PASSED
Seq5 = Math.random() * 9 - 6,Chrome 81.0.4044.138,,,2020-05-21 11:35:14,2020-05-21 11:35:14,"0,030s",PASSED
