Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Integration-IA-Contact,Chrome 81.0.4044.138,,,2020-05-20 12:13:09,2020-05-20 12:16:50,"3m - 41,081s",FAILED
,,,,,,,
Test Cases/Contact,Chrome 81.0.4044.138,,,2020-05-20 12:13:09,2020-05-20 12:16:05,"2m - 56,018s",PASSED
"openBrowser("""")",Chrome 81.0.4044.138,,,2020-05-20 12:13:09,2020-05-20 12:13:14,"4,356s",PASSED
navigateToUrl(URL),Chrome 81.0.4044.138,,,2020-05-20 12:13:14,2020-05-20 12:13:17,"3,426s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_Welcome page/button_Accder""))",Chrome 81.0.4044.138,,,2020-05-20 12:13:17,2020-05-20 12:13:21,"3,650s",PASSED
"setText(findTestObject(""Object Repository/CreationContact/Page_IAD/input_Identifiant_username""), usernameConseiller)",Chrome 81.0.4044.138,,,2020-05-20 12:13:21,2020-05-20 12:13:26,"4,836s",PASSED
"setEncryptedText(findTestObject(""Object Repository/CreationContact/Page_IAD/input_Mot de passe_password""), mp)",Chrome 81.0.4044.138,,,2020-05-20 12:13:26,2020-05-20 12:13:30,"4,412s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_IAD/input_Mot de passe_submit""))",Chrome 81.0.4044.138,,,2020-05-20 12:13:30,2020-05-20 12:13:36,"6,174s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_IAD/button_Dmarrer""))",Chrome 81.0.4044.138,,,2020-05-20 12:13:36,2020-05-20 12:13:39,"2,652s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_IAD/div_Quitter""))",Chrome 81.0.4044.138,,,2020-05-20 12:13:39,2020-05-20 12:13:42,"3,168s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_IAD/a_Production""))",Chrome 81.0.4044.138,,,2020-05-20 12:13:42,2020-05-20 12:13:44,"2,521s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_IAD/a_Myiad contacts""))",Chrome 81.0.4044.138,,,2020-05-20 12:13:44,2020-05-20 12:13:49,"4,130s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_IAD/button_Crer""))",Chrome 81.0.4044.138,,,2020-05-20 12:13:49,2020-05-20 12:13:56,"7,874s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_IAD/div_Nouveau contact_myiad-avatar""))",Chrome 81.0.4044.138,,,2020-05-20 12:13:56,2020-05-20 12:13:59,"2,606s",PASSED
Seq5 = Math.random() * 9 - 6,Chrome 81.0.4044.138,,,2020-05-20 12:13:59,2020-05-20 12:13:59,"0,011s",PASSED
seq55 = Seq5 * 100,Chrome 81.0.4044.138,,,2020-05-20 12:13:59,2020-05-20 12:13:59,"0,002s",PASSED
jdcontact = seq55,Chrome 81.0.4044.138,,,2020-05-20 12:13:59,2020-05-20 12:13:59,"0,002s",PASSED
jdcont = $jdcontact,Chrome 81.0.4044.138,,,2020-05-20 12:13:59,2020-05-20 12:13:59,"0,015s",PASSED
"firstname = ""test"" + jdcont",Chrome 81.0.4044.138,,,2020-05-20 12:13:59,2020-05-20 12:13:59,"0,001s",PASSED
println(firstname),Chrome 81.0.4044.138,,,2020-05-20 12:13:59,2020-05-20 12:13:59,"0,003s",PASSED
"setText(findTestObject(""Object Repository/CreationContact/Page_IAD/input_Prnom_firstName""), firstname)",Chrome 81.0.4044.138,,,2020-05-20 12:13:59,2020-05-20 12:14:04,"4,772s",PASSED
"lastname = ""test1"" + jdcont",Chrome 81.0.4044.138,,,2020-05-20 12:14:04,2020-05-20 12:14:04,"0,000s",PASSED
println(lastname),Chrome 81.0.4044.138,,,2020-05-20 12:14:04,2020-05-20 12:14:04,"0,001s",PASSED
"setText(findTestObject(""Object Repository/CreationContact/Page_IAD/input_Nom_lastName""), lastname)",Chrome 81.0.4044.138,,,2020-05-20 12:14:04,2020-05-20 12:14:09,"4,765s",PASSED
"usedname = ""test3"" + jdcont",Chrome 81.0.4044.138,,,2020-05-20 12:14:09,2020-05-20 12:14:09,"0,001s",PASSED
println(usedname),Chrome 81.0.4044.138,,,2020-05-20 12:14:09,2020-05-20 12:14:09,"0,000s",PASSED
"setText(findTestObject(""Object Repository/CreationContact/Page_IAD/input_concat(Nom d  usage)_usageName""), usedname)",Chrome 81.0.4044.138,,,2020-05-20 12:14:09,2020-05-20 12:14:14,"4,983s",PASSED
"jeunefille = ""test4"" + jdcont",Chrome 81.0.4044.138,,,2020-05-20 12:14:14,2020-05-20 12:14:14,"0,000s",PASSED
println(jeunefille),Chrome 81.0.4044.138,,,2020-05-20 12:14:14,2020-05-20 12:14:14,"0,001s",PASSED
"setText(findTestObject(""Object Repository/CreationContact/Page_IAD/input_Nom de jeune fille_birthName""), jeunefille)",Chrome 81.0.4044.138,,,2020-05-20 12:14:14,2020-05-20 12:14:19,"4,959s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_IAD/input_Date de naissance_birthDate""))",Chrome 81.0.4044.138,,,2020-05-20 12:14:19,2020-05-20 12:14:22,"3,050s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_IAD/span_13""))",Chrome 81.0.4044.138,,,2020-05-20 12:14:22,2020-05-20 12:14:24,"2,655s",PASSED
"datebirth = getAttribute(findTestObject(""CreationContact/Page_IAD/input_Date de naissance_birthDate""), ""value"")",Chrome 81.0.4044.138,,,2020-05-20 12:14:24,2020-05-20 12:14:25,"0,607s",PASSED
DateNaissance = datebirth,Chrome 81.0.4044.138,,,2020-05-20 12:14:25,2020-05-20 12:14:25,"0,001s",PASSED
println(DateNaissance),Chrome 81.0.4044.138,,,2020-05-20 12:14:25,2020-05-20 12:14:25,"0,000s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_IAD/span_Lieu de naissance_btn btn-default form_bf2c5d""))",Chrome 81.0.4044.138,,,2020-05-20 12:14:25,2020-05-20 12:14:27,"2,465s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_IAD/span_02""))",Chrome 81.0.4044.138,,,2020-05-20 12:14:27,2020-05-20 12:14:30,"2,904s",PASSED
"lieuBirth = ""test5"" + jdcont",Chrome 81.0.4044.138,,,2020-05-20 12:14:30,2020-05-20 12:14:30,"0,000s",PASSED
println(lieuBirth),Chrome 81.0.4044.138,,,2020-05-20 12:14:30,2020-05-20 12:14:30,"0,000s",PASSED
"setText(findTestObject(""Object Repository/CreationContact/Page_IAD/input_Lieu de naissance_birthPlace""), lieuBirth)",Chrome 81.0.4044.138,,,2020-05-20 12:14:30,2020-05-20 12:14:35,"5,058s",PASSED
