Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Integration-IA-Contact,Chrome 81.0.4044.138,,,2020-05-20 12:30:17,2020-05-20 12:33:51,"3m - 33,928s",FAILED
,,,,,,,
Test Cases/Contact,Chrome 81.0.4044.138,,,2020-05-20 12:30:17,2020-05-20 12:33:14,"2m - 56,602s",PASSED
"openBrowser("""")",Chrome 81.0.4044.138,,,2020-05-20 12:30:17,2020-05-20 12:30:22,"4,357s",PASSED
navigateToUrl(URL),Chrome 81.0.4044.138,,,2020-05-20 12:30:22,2020-05-20 12:30:25,"3,406s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_Welcome page/button_Accder""))",Chrome 81.0.4044.138,,,2020-05-20 12:30:25,2020-05-20 12:30:29,"3,632s",PASSED
"setText(findTestObject(""Object Repository/CreationContact/Page_IAD/input_Identifiant_username""), usernameConseiller)",Chrome 81.0.4044.138,,,2020-05-20 12:30:29,2020-05-20 12:30:33,"4,733s",PASSED
"setEncryptedText(findTestObject(""Object Repository/CreationContact/Page_IAD/input_Mot de passe_password""), mp)",Chrome 81.0.4044.138,,,2020-05-20 12:30:33,2020-05-20 12:30:38,"4,411s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_IAD/input_Mot de passe_submit""))",Chrome 81.0.4044.138,,,2020-05-20 12:30:38,2020-05-20 12:30:43,"5,565s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_IAD/button_Dmarrer""))",Chrome 81.0.4044.138,,,2020-05-20 12:30:43,2020-05-20 12:30:47,"3,371s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_IAD/div_Quitter""))",Chrome 81.0.4044.138,,,2020-05-20 12:30:47,2020-05-20 12:30:50,"3,165s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_IAD/a_Production""))",Chrome 81.0.4044.138,,,2020-05-20 12:30:50,2020-05-20 12:30:53,"2,533s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_IAD/a_Myiad contacts""))",Chrome 81.0.4044.138,,,2020-05-20 12:30:53,2020-05-20 12:30:57,"4,255s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_IAD/button_Crer""))",Chrome 81.0.4044.138,,,2020-05-20 12:30:57,2020-05-20 12:31:05,"8,033s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_IAD/div_Nouveau contact_myiad-avatar""))",Chrome 81.0.4044.138,,,2020-05-20 12:31:05,2020-05-20 12:31:07,"2,599s",PASSED
Seq5 = Math.random() * 9 - 6,Chrome 81.0.4044.138,,,2020-05-20 12:31:07,2020-05-20 12:31:07,"0,011s",PASSED
seq55 = Seq5 * 100,Chrome 81.0.4044.138,,,2020-05-20 12:31:07,2020-05-20 12:31:07,"0,001s",PASSED
jdcontact = seq55,Chrome 81.0.4044.138,,,2020-05-20 12:31:07,2020-05-20 12:31:07,"0,003s",PASSED
jdcont = $jdcontact,Chrome 81.0.4044.138,,,2020-05-20 12:31:07,2020-05-20 12:31:07,"0,014s",PASSED
"firstname = ""test"" + jdcont",Chrome 81.0.4044.138,,,2020-05-20 12:31:07,2020-05-20 12:31:07,"0,000s",PASSED
println(firstname),Chrome 81.0.4044.138,,,2020-05-20 12:31:07,2020-05-20 12:31:07,"0,003s",PASSED
"setText(findTestObject(""Object Repository/CreationContact/Page_IAD/input_Prnom_firstName""), firstname)",Chrome 81.0.4044.138,,,2020-05-20 12:31:07,2020-05-20 12:31:12,"4,794s",PASSED
"lastname = ""test1"" + jdcont",Chrome 81.0.4044.138,,,2020-05-20 12:31:12,2020-05-20 12:31:12,"0,000s",PASSED
