Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Integration-IA-Contact,Chrome 81.0.4044.138,,,2020-05-20 11:47:55,2020-05-20 11:51:00,"3m - 5,431s",FAILED
,,,,,,,
Test Cases/Contact,Chrome 81.0.4044.138,,,2020-05-20 11:47:55,2020-05-20 11:50:55,"2m - 59,953s",PASSED
"openBrowser("""")",Chrome 81.0.4044.138,,,2020-05-20 11:47:55,2020-05-20 11:48:00,"4,372s",PASSED
navigateToUrl(URL),Chrome 81.0.4044.138,,,2020-05-20 11:48:00,2020-05-20 11:48:03,"3,394s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_Welcome page/button_Accder""))",Chrome 81.0.4044.138,,,2020-05-20 11:48:03,2020-05-20 11:48:07,"3,798s",PASSED
"setText(findTestObject(""Object Repository/CreationContact/Page_IAD/input_Identifiant_username""), usernameConseiller)",Chrome 81.0.4044.138,,,2020-05-20 11:48:07,2020-05-20 11:48:12,"4,828s",PASSED
"setEncryptedText(findTestObject(""Object Repository/CreationContact/Page_IAD/input_Mot de passe_password""), mp)",Chrome 81.0.4044.138,,,2020-05-20 11:48:12,2020-05-20 11:48:16,"4,410s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_IAD/input_Mot de passe_submit""))",Chrome 81.0.4044.138,,,2020-05-20 11:48:16,2020-05-20 11:48:22,"5,547s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_IAD/button_Dmarrer""))",Chrome 81.0.4044.138,,,2020-05-20 11:48:22,2020-05-20 11:48:25,"3,063s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_IAD/div_Quitter""))",Chrome 81.0.4044.138,,,2020-05-20 11:48:25,2020-05-20 11:48:28,"3,168s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_IAD/a_Production""))",Chrome 81.0.4044.138,,,2020-05-20 11:48:28,2020-05-20 11:48:30,"2,533s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_IAD/a_Myiad contacts""))",Chrome 81.0.4044.138,,,2020-05-20 11:48:30,2020-05-20 11:48:35,"4,381s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_IAD/button_Crer""))",Chrome 81.0.4044.138,,,2020-05-20 11:48:35,2020-05-20 11:48:46,"11,325s",PASSED
"click(findTestObject(""Object Repository/CreationContact/Page_IAD/div_Nouveau contact_myiad-avatar""))",Chrome 81.0.4044.138,,,2020-05-20 11:48:46,2020-05-20 11:48:49,"2,575s",PASSED
Seq5 = Math.random() * 9 - 6,Chrome 81.0.4044.138,,,2020-05-20 11:48:49,2020-05-20 11:48:49,"0,009s",PASSED
seq55 = Seq5 * 100,Chrome 81.0.4044.138,,,2020-05-20 11:48:49,2020-05-20 11:48:49,"0,002s",PASSED
jdcontact = seq55,Chrome 81.0.4044.138,,,2020-05-20 11:48:49,2020-05-20 11:48:49,"0,002s",PASSED
jdcont = $jdcontact,Chrome 81.0.4044.138,,,2020-05-20 11:48:49,2020-05-20 11:48:49,"0,014s",PASSED
"firstname = ""test"" + jdcont",Chrome 81.0.4044.138,,,2020-05-20 11:48:49,2020-05-20 11:48:49,"0,000s",PASSED
println(firstname),Chrome 81.0.4044.138,,,2020-05-20 11:48:49,2020-05-20 11:48:49,"0,003s",PASSED
"setText(findTestObject(""Object Repository/CreationContact/Page_IAD/input_Prnom_firstName""), firstname)",Chrome 81.0.4044.138,,,2020-05-20 11:48:49,2020-05-20 11:48:54,"4,889s",PASSED
"lastname = ""test1"" + jdcont",Chrome 81.0.4044.138,,,2020-05-20 11:48:54,2020-05-20 11:48:54,"0,001s",PASSED
println(lastname),Chrome 81.0.4044.138,,,2020-05-20 11:48:54,2020-05-20 11:48:54,"0,000s",PASSED
"setText(findTestObject(""Object Repository/CreationContact/Page_IAD/input_Nom_lastName""), lastname)",Chrome 81.0.4044.138,,,2020-05-20 11:48:54,2020-05-20 11:48:58,"4,780s",PASSED
"usedname = ""test3"" + jdcont",Chrome 81.0.4044.138,,,2020-05-20 11:48:58,2020-05-20 11:48:58,"0,000s",PASSED
println(usedname),Chrome 81.0.4044.138,,,2020-05-20 11:48:58,2020-05-20 11:48:58,"0,001s",PASSED
"setText(findTestObject(""Object Repository/CreationContact/Page_IAD/input_concat(Nom d  usage)_usageName""), usedname)",Chrome 81.0.4044.138,,,2020-05-20 11:48:58,2020-05-20 11:49:03,"4,975s",PASSED
"jeunefille = ""test4"" + jdcont",Chrome 81.0.4044.138,,,2020-05-20 11:49:03,2020-05-20 11:49:03,"0,001s",PASSED
